<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20140526,000000,1.3621000,1.3654000,1.3611000,1.3647000,0
20140527,000000,1.3647000,1.3669000,1.3610000,1.3634000,0
20140528,000000,1.3634000,1.3640000,1.3587000,1.3594000,0
20140529,000000,1.3593000,1.3626000,1.3584000,1.3602000,0
20140530,000000,1.3603000,1.3650000,1.3596000,1.3631000,0
20140531,000000,1.3630000,1.3635000,1.3627000,1.3629000,0
20140601,000000,1.3629000,1.3643000,1.3629000,1.3641000,0
20140602,000000,1.3640000,1.3641000,1.3586000,1.3597000,0
20140603,000000,1.3597000,1.3648000,1.3585000,1.3621000,0
20140604,000000,1.3621000,1.3640000,1.3594000,1.3599000,0
20140605,000000,1.3599000,1.3670000,1.3501000,1.3656000,0
20140606,000000,1.3657000,1.3677000,1.3618000,1.3644000,0
20140607,000000,1.3644000,1.3646000,1.3639000,1.3642000,0
20140608,000000,1.3642000,1.3644000,1.3640000,1.3642000,0
20140609,000000,1.3642000,1.3670000,1.3580000,1.3589000,0
20140610,000000,1.3589000,1.3602000,1.3530000,1.3546000,0
20140611,000000,1.3545000,1.3557000,1.3518000,1.3527000,0
20140612,000000,1.3528000,1.3572000,1.3509000,1.3564000,0
20140613,000000,1.3563000,1.3580000,1.3518000,1.3539000,0
20140614,000000,1.3538000,1.3542000,1.3532000,1.3539000,0
20140615,000000,1.3538000,1.3538000,1.3532000,1.3535000,0
20140616,000000,1.3535000,1.3580000,1.3511000,1.3569000,0
20140617,000000,1.3570000,1.3587000,1.3534000,1.3541000,0
20140618,000000,1.3541000,1.3599000,1.3538000,1.3584000,0
20140619,000000,1.3584000,1.3643000,1.3580000,1.3603000,0
20140620,000000,1.3602000,1.3634000,1.3562000,1.3597000,0
20140621,000000,1.3596000,1.3601000,1.3595000,1.3595000,0
20140622,000000,1.3583000,1.3595000,1.3581000,1.3587000,0
20140623,000000,1.3586000,1.3614000,1.3571000,1.3602000,0
20140624,000000,1.3601000,1.3628000,1.3581000,1.3604000,0
20140625,000000,1.3604000,1.3651000,1.3598000,1.3627000,0
20140626,000000,1.3628000,1.3641000,1.3574000,1.3609000,0
20140627,000000,1.3609000,1.3649000,1.3605000,1.3647000,0
20140628,000000,1.3647000,1.3651000,1.3644000,1.3647000,0
20140629,000000,1.3648000,1.3648000,1.3642000,1.3646000,0
20140630,000000,1.3645000,1.3698000,1.3637000,1.3692000,0
20140701,000000,1.3692000,1.3701000,1.3673000,1.3677000,0
20140702,000000,1.3678000,1.3683000,1.3639000,1.3654000,0
20140703,000000,1.3654000,1.3664000,1.3594000,1.3607000,0
20140704,000000,1.3607000,1.3611000,1.3582000,1.3593000,0
20140705,000000,1.3593000,1.3596000,1.3589000,1.3591000,0
20140706,000000,1.3595000,1.3599000,1.3591000,1.3592000,0
20140707,000000,1.3592000,1.3609000,1.3573000,1.3607000,0
20140708,000000,1.3607000,1.3620000,1.3585000,1.3612000,0
20140709,000000,1.3611000,1.3648000,1.3599000,1.3641000,0
20140710,000000,1.3639000,1.3651000,1.3587000,1.3608000,0
20140711,000000,1.3608000,1.3625000,1.3590000,1.3608000,0
20140712,000000,1.3608000,1.3611000,1.3601000,1.3605000,0
20140713,000000,1.3603000,1.3604000,1.3596000,1.3598000,0
20140714,000000,1.3599000,1.3640000,1.3595000,1.3619000,0
20140715,000000,1.3619000,1.3630000,1.3559000,1.3566000,0
20140716,000000,1.3566000,1.3573000,1.3519000,1.3524000,0
20140717,000000,1.3523000,1.3540000,1.3514000,1.3525000,0
20140718,000000,1.3525000,1.3536000,1.3489000,1.3523000,0
20140719,000000,1.3524000,1.3527000,1.3520000,1.3522000,0
20140720,000000,1.3526000,1.3529000,1.3520000,1.3526000,0
20140721,000000,1.3526000,1.3549000,1.3510000,1.3522000,0
20140722,000000,1.3521000,1.3530000,1.3457000,1.3468000,0
20140723,000000,1.3467000,1.3474000,1.3452000,1.3462000,0
20140724,000000,1.3462000,1.3485000,1.3436000,1.3463000,0
20140725,000000,1.3462000,1.3476000,1.3419000,1.3431000,0
20140726,000000,1.3431000,1.3434000,1.3426000,1.3434000,0
20140727,000000,1.3430000,1.3437000,1.3428000,1.3432000,0
20140728,000000,1.3432000,1.3444000,1.3424000,1.3431000,0
20140729,000000,1.3431000,1.3445000,1.3402000,1.3409000,0
20140730,000000,1.3409000,1.3415000,1.3364000,1.3392000,0
20140731,000000,1.3391000,1.3401000,1.3369000,1.3389000,0
20140801,000000,1.3390000,1.3445000,1.3376000,1.3422000,0
20140802,000000,1.3422000,1.3433000,1.3420000,1.3430000,0
20140803,000000,1.3423000,1.3428000,1.3421000,1.3426000,0
20140804,000000,1.3426000,1.3433000,1.3407000,1.3421000,0
20140805,000000,1.3421000,1.3425000,1.3356000,1.3373000,0
20140806,000000,1.3373000,1.3387000,1.3330000,1.3379000,0
20140807,000000,1.3379000,1.3394000,1.3335000,1.3364000,0
