<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20160526,001500,1.1153900,1.1159200,1.1151100,1.1155600,3391
20160526,003000,1.1155100,1.1158800,1.1153000,1.1155300,2731
20160526,004500,1.1155300,1.1158500,1.1152600,1.1157500,4280
20160526,010000,1.1157600,1.1158000,1.1152000,1.1155400,6501
20160526,011500,1.1155400,1.1156900,1.1152700,1.1154400,5674
20160526,013000,1.1154500,1.1155500,1.1150800,1.1155100,5433
20160526,014500,1.1155300,1.1155400,1.1151300,1.1154500,7383
20160526,020000,1.1154700,1.1158300,1.1152000,1.1156100,6789
20160526,021500,1.1156000,1.1156600,1.1150700,1.1152500,7950
20160526,023000,1.1152700,1.1154000,1.1147700,1.1150400,6057
20160526,024500,1.1150300,1.1155500,1.1147600,1.1155300,5097
20160526,030000,1.1155300,1.1157800,1.1152700,1.1154200,4897
20160526,031500,1.1154700,1.1162800,1.1152200,1.1162000,9964
20160526,033000,1.1162000,1.1169800,1.1157300,1.1165500,18350
20160526,034500,1.1164900,1.1172100,1.1163100,1.1171800,11808
20160526,040000,1.1171100,1.1178100,1.1167500,1.1169800,18293
20160526,041500,1.1170300,1.1172700,1.1164900,1.1170300,12179
20160526,043000,1.1170500,1.1174700,1.1168300,1.1172500,12126
20160526,044500,1.1172400,1.1173500,1.1164700,1.1166700,12244
20160526,050000,1.1167000,1.1173100,1.1164900,1.1169400,11197
20160526,051500,1.1169400,1.1178500,1.1167300,1.1176700,10765
20160526,053000,1.1176700,1.1180100,1.1174000,1.1177700,9755
20160526,054500,1.1178200,1.1178700,1.1171700,1.1175000,7599
20160526,060000,1.1175800,1.1176200,1.1172400,1.1175500,6299
20160526,061500,1.1175600,1.1182600,1.1172300,1.1181700,8561
20160526,063000,1.1181700,1.1186700,1.1177800,1.1182800,11708
20160526,064500,1.1183600,1.1184500,1.1178000,1.1180600,9024
20160526,070000,1.1180300,1.1182000,1.1176700,1.1181000,6372
20160526,071500,1.1180400,1.1184700,1.1178000,1.1184300,7085
20160526,073000,1.1184300,1.1186500,1.1181500,1.1183700,6444
20160526,074500,1.1182900,1.1184600,1.1180000,1.1183100,6295
20160526,080000,1.1183100,1.1184200,1.1177000,1.1179900,6846
20160526,081500,1.1180000,1.1184500,1.1178000,1.1182300,8457
20160526,083000,1.1182300,1.1189800,1.1179000,1.1186000,9068
20160526,084500,1.1187300,1.1187400,1.1180000,1.1184600,9778
20160526,090000,1.1184500,1.1186400,1.1181000,1.1183800,11260
20160526,091500,1.1183300,1.1183900,1.1175000,1.1180100,14507
20160526,093000,1.1180100,1.1180700,1.1174000,1.1177300,12933
20160526,094500,1.1177400,1.1178000,1.1170000,1.1173800,13675
20160526,100000,1.1173700,1.1176800,1.1167000,1.1170200,14772
20160526,101500,1.1170400,1.1173200,1.1164000,1.1168400,20366
20160526,103000,1.1168400,1.1171600,1.1164000,1.1166100,18787
20160526,104500,1.1166100,1.1173700,1.1164000,1.1172800,16474
20160526,110000,1.1172900,1.1175500,1.1167900,1.1169900,16010
20160526,111500,1.1170000,1.1174600,1.1166000,1.1171200,15005
20160526,113000,1.1171300,1.1173800,1.1167000,1.1170500,14194
20160526,114500,1.1170000,1.1180000,1.1168000,1.1174000,17827
20160526,120000,1.1174100,1.1182100,1.1169000,1.1178000,16686
20160526,121500,1.1178100,1.1182400,1.1173000,1.1179900,15765
20160526,123000,1.1180200,1.1182100,1.1173000,1.1177500,16940
20160526,124500,1.1178000,1.1181700,1.1174000,1.1181300,14070
20160526,130000,1.1181300,1.1184800,1.1178000,1.1183300,14378
20160526,131500,1.1182500,1.1184500,1.1177000,1.1181900,14419
20160526,133000,1.1181900,1.1192300,1.1179000,1.1189900,17193
20160526,134500,1.1189100,1.1191100,1.1184000,1.1188800,15941
20160526,140000,1.1188600,1.1190300,1.1177000,1.1179600,17093
20160526,141500,1.1179700,1.1183900,1.1173000,1.1181700,15345
20160526,143000,1.1181900,1.1184000,1.1175000,1.1181200,15201
20160526,144500,1.1182100,1.1183200,1.1170000,1.1173800,15050
20160526,150000,1.1173700,1.1175500,1.1164000,1.1169600,17819
20160526,151500,1.1170400,1.1171900,1.1163000,1.1168300,19282
20160526,153000,1.1168000,1.1176000,1.1165400,1.1168300,23010
20160526,154500,1.1168900,1.1182600,1.1158600,1.1174600,28622
20160526,160000,1.1174800,1.1202100,1.1171600,1.1200200,27544
20160526,161500,1.1200000,1.1214500,1.1197600,1.1210000,28293
20160526,163000,1.1209600,1.1216800,1.1204000,1.1209400,23491
20160526,164500,1.1209600,1.1214300,1.1202000,1.1205000,28079
20160526,170000,1.1207800,1.1210000,1.1194000,1.1197300,26123
20160526,171500,1.1197100,1.1200600,1.1185700,1.1192300,25961
20160526,173000,1.1192200,1.1196300,1.1185000,1.1195800,21610
20160526,174500,1.1195600,1.1200000,1.1187000,1.1197200,22507
20160526,180000,1.1197300,1.1203100,1.1182200,1.1184400,25583
20160526,181500,1.1184300,1.1190000,1.1176800,1.1178900,23477
20160526,183000,1.1178900,1.1186000,1.1172500,1.1183100,22490
20160526,184500,1.1182800,1.1184300,1.1176000,1.1183300,16325
20160526,190000,1.1183300,1.1184900,1.1179000,1.1183400,13660
20160526,191500,1.1183100,1.1183900,1.1177000,1.1178600,15398
20160526,193000,1.1177800,1.1178700,1.1168000,1.1170700,19079
20160526,194500,1.1171000,1.1172500,1.1167000,1.1170100,12883
20160526,200000,1.1170700,1.1178700,1.1167000,1.1175200,16092
20160526,201500,1.1175600,1.1183800,1.1172000,1.1182400,15745
20160526,203000,1.1182400,1.1187600,1.1178500,1.1184800,13952
20160526,204500,1.1184700,1.1187200,1.1180600,1.1183600,12246
20160526,210000,1.1183600,1.1184800,1.1180000,1.1182600,9302
20160526,211500,1.1182600,1.1184400,1.1178000,1.1183100,10861
20160526,213000,1.1182600,1.1187300,1.1181600,1.1185600,10373
20160526,214500,1.1185900,1.1192000,1.1183500,1.1187600,12386
20160526,220000,1.1188000,1.1191900,1.1184900,1.1191000,9406
20160526,221500,1.1190300,1.1193600,1.1188000,1.1190500,8634
20160526,223000,1.1190300,1.1192300,1.1187400,1.1191300,5777
20160526,224500,1.1191500,1.1192000,1.1187000,1.1191200,5027
20160526,230000,1.1191000,1.1193200,1.1186000,1.1187500,8239
20160526,231500,1.1187900,1.1193000,1.1187000,1.1192200,8228
20160526,233000,1.1191000,1.1192800,1.1187000,1.1189000,7735
20160526,234500,1.1189300,1.1194000,1.1188000,1.1192600,5184
20160527,000000,1.1193600,1.1195100,1.1191000,1.1193300,6220
20160527,001500,1.1192800,1.1194800,1.1190400,1.1192900,2701
20160527,003000,1.1192700,1.1193700,1.1187000,1.1191300,4124
20160527,004500,1.1191900,1.1194000,1.1188000,1.1193700,5048
20160527,010000,1.1193700,1.1195400,1.1190000,1.1192400,3447
20160527,011500,1.1192400,1.1194700,1.1189000,1.1190900,10464
20160527,013000,1.1190100,1.1193800,1.1189000,1.1193400,6489
20160527,014500,1.1193600,1.1194200,1.1191000,1.1192100,4902
20160527,020000,1.1192700,1.1194100,1.1190000,1.1192500,3769
20160527,021500,1.1193000,1.1193300,1.1189000,1.1192200,3556
20160527,023000,1.1192900,1.1194700,1.1190000,1.1193500,5351
20160527,024500,1.1194100,1.1194400,1.1190000,1.1194100,4303
20160527,030000,1.1194100,1.1194100,1.1188000,1.1191500,10013
20160527,031500,1.1191200,1.1199500,1.1190000,1.1195600,14391
20160527,033000,1.1195600,1.1199400,1.1191000,1.1193200,11912
20160527,034500,1.1193600,1.1194700,1.1190000,1.1191400,9496
20160527,040000,1.1191400,1.1192400,1.1187000,1.1191700,14455
